1,Garcia,Manuel III,10/11/1983,M,mgarcia@motorph.com,966-860-270,"Valero Carpark Building Valero Street 1227, Makati City",44-4506057-3,6.91E+11,8.20E+11,1.23E+08,Regular,Chief Executive Officer,Management ,N/A,1/1/2010,CEO,45000
2,Lim,Antonio,6/19/1988,M,alim@motorph.com,171-867-411,"San Antonio De Padua 2, Block 1 Lot 8 and 2, Dasmarinas, Cavite",52-2061274-9,6.64E+11,3.32E+11,1.23E+08,Regular,Chief Operating Officer,Management ,"Garcia, Manuel III",1/1/2010,COO,44000
3,Aquino,Bianca Sofia,8/4/1989,F,bsaquino@motorph.com,966-889-370,"Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100, Quezon City",30-8870406-2,1.72E+11,1.77E+11,1.23E+08,Regular,Chief Finance Officer,Management ,"Garcia, Manuel III",1/1/2010,CFO,43000
4,Reyes,Isabella,6/16/1994,F,ireyes@motorph.com,786-868-477,"460 Solanda Street Intramuros 1000, Manila",40-2511815-0,4.17E+11,3.42E+11,1.23E+08,Regular,Chief Marketing Officer,Management ,"Garcia, Manuel III",1/1/2010,CMO,42000
5,Hernandez,Eduard,9/23/1989,M,ehernandez@motorph.com,088-861-012,"National Highway, Gingoog,  Misamis Occidental",50-5577638-1,9.52E+11,9.57E+11,1.23E+08,Regular,IT Operations and Systems,Management ,"Lim, Antonio",1/1/2010,ITOS,41000
6,Villanueva,Andrea Mae,2/14/1988,F,amvillanueva@motorph.com,918-621-603,"17/85 Stracke Via Suite 042, Poblacion, Las Piñas 4783 Dinagat Islands ",49-1632020-8,4.41E+11,3.82E+11,1.23E+08,Regular,HR Manager,Management ,"Lim, Antonio",1/1/2010,HRM,40000
7,San Jose,Brad ,3/15/1996,M,bsanjose@motorph.com,797-009-261,"99 Strosin Hills, Poblacion, Bislig 5340 Tawi-Tawi",40-2400714-1,2.11E+11,2.39E+11,1.23E+08,Regular,HR Team Leader,Management ,"Villanueva, Andrea Mae",1/1/2010,MRTL,39000
8,Romualdez,Alice,5/14/1992,F,aromualdez@motorph.com,983-606-799,"12A/33 Upton Isle Apt. 420, Roxas City 1814 Surigao del Norte ",55-4476527-2,2.11E+11,5.46E+11,1.23E+08,Regular,HR Rank and File,Management ,"San, Jose Brad",1/1/2010,HRRF,38000
9,Atienza,Rosie ,9/24/1948,F,ratienza@motorph.com,266-036-427,"90A Dibbert Terrace Apt. 190, San Lorenzo 6056 Davao del Norte",41-0644692-3,2.60E+11,7.09E+11,1.23E+08,Regular,HR Rank and File,Management ,"San, Jose Brad",1/1/2010,HRRF,37000
10,Alvaro,Roderick,3/30/1988,M,ralvaro@motorph.com,053-381-386,"#284 T. Morato corner, Scout Rallos Street, Quezon City",64-7605054-4,7.99E+11,5.78E+11,1.23E+08,Regular,Accounting Head,Management ,"Aquino, Bianca Sofia ",1/1/2010,AH,36000
11,Salcedo,Anthony,9/14/1993,M,asalcedo@motorph.com,070-766-300,"93/54 Shanahan Alley Apt. 183, Santo Tomas 1572 Masbate",26-9647608-3,2.18E+11,1.26E+11,1.23E+08,Regular,Payroll Manager,Management ,"Alvaro, Roderick",1/1/2010,PM,35000
12,Lopez,Josie ,1/14/1987,F,jlopez@motorph.com,478-355-427,"49 Springs Apt. 266, Poblacion, Taguig 3200 Occidental Mindoro",44-8563448-3,1.13E+11,4.32E+11,1.23E+08,Regular,Payroll Team Leader,Management ,"Salcedo, Anthony",1/1/2010,PTL,34000
13,Farala,Martha,1/11/1942,F,mfarala@motorph.com,329-034-366,"42/25 Sawayn Stream, Ubay 1208 Zamboanga del Norte ",45-5656375-0,6.31E+11,2.34E+11,1.23E+08,Regular,Payroll Rank and File,Management ,"Salcedo, Anthony",1/1/2010,PRF,33000
14,Martinez,Leila,7/11/1970,F,lmartinez@motorph.com,877-110-749,"37/46 Kulas Roads, Maragondon 0962 Quirino ",27-2090996-4,1.01E+11,5.16E+11,1.23E+08,Regular,Payroll Rank and File,Management ,"Salcedo, Anthony",1/1/2010,PRF,32000
15,Romualdez,Fredrick ,3/10/1985,M,fromualdez@motorph.com,023-079-009,"22A/52 Lubowitz Meadows, Pililla 4895 Zambales",26-8768374-1,2.23E+11,3.08E+11,1.23E+08,Regular,Account Manager,Management ,"Lim, Antonio",1/1/2010,AM,31000
16,Mata,Christian,10/21/1987,M,cmata@motorph.com,783-776-744,"90 O'Keefe Spur Apt. 379, Catigbian 2772 Sulu ",49-2959312-6,6.31E+11,8.24E+11,1.23E+08,Regular,Account Team Leader,Management ,"Romualdez, Fredrick ",1/1/2010,ATL,30000
17,De Leon,Selena ,2/20/1975,F,sdeleon@motorph.com,975-432-139,"89A Armstrong Trace, Compostela 7874 Maguindanao",27-2090208-8,7.19E+11,5.87E+11,1.23E+08,Regular,Account Team Leader,Management ,"Romualdez, Fredrick ",1/1/2010,ATL,29000
18,San Jose,Allison ,6/24/1986,F,asanjose@motorph.com,179-075-129,"08 Grant Drive Suite 406, Poblacion, Iloilo City 9186 La Union",45-3251383-0,1.15E+11,7.45E+11,1.23E+08,Regular,Account Rank and File,Management ,"Mata, Christian",1/1/2010,ARF,28000
19,Rosario,Cydney ,10/6/1996,F,crosario@motorph.com,868-819-912,"93A/21 Berge Points, Tapaz 2180 Quezon",49-1629900-2,2.65E+11,5.79E+11,1.23E+08,Regular,Account Rank and File,Management ,"Mata, Christian",1/1/2010,ARF,27000
20,Bautista,Mark ,2/12/1991,M,mbautista@motorph.com,683-725-348,"65 Murphy Center Suite 094, Poblacion, Palayan 5636 Quirino",49-1647342-5,2.60E+11,4.00E+11,1.23E+08,Regular,Account Rank and File,Management ,"Mata, Christian",1/1/2010,ARF,26000
21,Lazaro,Darlene ,11/25/1985,F,dlazaro@motorph.com,740-721-558,"47A/94 Larkin Plaza Apt. 179, Poblacion, Caloocan 2751 Quirino",45-5617168-2,1.05E+11,6.06E+11,1.23E+08,Probationary,Account Rank and File,Management ,"Mata, Christian",1/1/2010,ARF,25000
22,Delos Santos,Kolby ,2/26/1980,M,kdelossantos@motorph.com,739-443-033,"06A Gulgowski Extensions, Bongabon 6085 Zamboanga del Sur",52-0109570-6,1.13E+11,3.57E+11,1.23E+08,Probationary,Account Rank and File,Management ,"Mata, Christian",1/1/2010,ARF,24000
23,Santos,Vella ,12/31/1983,F,vsantos@motorph.com,955-879-269,"99A Padberg Spring, Poblacion, Mabalacat 3959 Lanao del Sur",52-9883524-3,3.60E+11,5.49E+11,1.23E+08,Probationary,Account Rank and File,Management ,"Mata, Christian",1/1/2010,ARF,23000
24,Del Rosario,Tomas,12/18/1978,M,tdelrosario@motorph.com,882-550-989,"80A/48 Ledner Ridges, Poblacion, Kabankalan 8870 Marinduque",45-5866331-6,9.13E+11,9.54E+11,1.23E+08,Probationary,Account Rank and File,Management ,"Mata, Christian",1/1/2010,ARF,22000
25,Tolentino,Jacklyn ,5/19/1984,F,jtolentino@motorph.com,675-757-366,"96/48 Watsica Flats Suite 734, Poblacion, Malolos 1844 Ifugao",47-1692793-0,2.11E+11,7.54E+11,1.23E+08,Probationary,Account Rank and File,Management ,"De Leon, Selena",1/1/2010,ARF,21000
25,Ramos,Carol ,8/20/1978,F,cramos@motorph.com,250-700-389,"72/70 Stamm Spurs, Bustos 4550 Iloilo",60-1152206-4,2.12E+11,3.52E+11,1.23E+08,Probationary,Account Rank and File,Management ,"De Leon, Selena",1/1/2010,ARF,20000
26,Gutierrez,Percival ,12/18/1970,F,pgutierrez@motorph.com,512-899-876,"58A Wilderman Walks, Poblacion, Digos 5822 Davao del Sur",40-9504657-8,2.11E+11,7.98E+11,1.23E+08,Probationary,Account Rank and File,Management ,"De Leon, Selena",1/1/2010,ARF,19000
26,Maceda,Emelia ,4/14/1973,F,emaceda@motorph.com,973-358-041,"50A/83 Bahringer Oval Suite 145, Kiamba 7688 Nueva Ecija",54-1331005-0,5.15E+11,4.65E+11,1.23E+08,Probationary,Account Rank and File,Management ,"De Leon, Selena",1/1/2010,ARF,18000
27,Manalaysay,Garfield ,8/28/1986,M,gmanalaysay@motorph.com,948-628-136,"60 Goyette Valley Suite 219, Poblacion, Tabuk 3159 Lanao del Sur",45-3298166-4,2.11E+11,8.11E+11,1.23E+08,Probationary,Account Rank and File,Management ,"De Leon, Selena",1/1/2010,ARF,17000
27,Aguilar,Delia ,1/27/1989,F,daguilar@motorph.com,529-705-439,"95 Cremin Junction, Surallah 2809 Cotabato",52-1859253-1,1.10E+11,1.36E+11,1.23E+08,Probationary,Account Rank and File,Management ,"De Leon, Selena",1/1/2010,ARF,16000
28,Villegas,Lizeth ,12/12/1981,F,lvillegas@motorph.com,332-372-215,"66/77 Mann Views, Luisiana 1263 Dinagat Islands",40-2400719-4,1.22E+11,9.34E+11,1.23E+08,Probationary,Account Rank and File,Management ,"De Leon, Selena",1/1/2010,ARF,15000
32,Castro,John Rafael,2/9/1992,M,jrcastro@motorph.com,332-424-955 ,"Hi-way, Yati, Liloan Cebu",26-7145133-4,6.98E+11,6.02E+11,1.23E+08,Regular,Sales & Marketing,Management ,"Reyes, Isabella",1/1/2010,SM,14000
33,Martinez,Carlos Ian,11/16/1990,M,cimartinez@motorph.com,078-854-208,"Bulala, Camalaniugan",11-5062972-7,9.93E+11,3.81E+11,1.23E+08,Regular,Supply Chain and Logistics,Management ,"Reyes, Isabella",1/1/2010,SCL,13000
34,Santos,Beatriz,8/7/1990,F,bsantos@motorph.com,526-639-511,"Agapita Building, Metro Manila",20-2987501-5,8.74E+11,9.18E+11,1.23E+08,Regular,Customer Service and Relations,Management ,"Reyes, Isabella",1/1/2010,CSR,12000
